input,output
PM2.5=144 humidity=94 wind=2.7 AQI=220,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=24 humidity=84 wind=7.8 AQI=34,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=131 humidity=76 wind=4.5 AQI=185,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=256 humidity=89 wind=3.9 AQI=357,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=299 humidity=32 wind=7.1 AQI=369,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=208 humidity=67 wind=6.3 AQI=272,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=56 humidity=48 wind=2.4 AQI=84,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=271 humidity=79 wind=0.7 AQI=388,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=159 humidity=66 wind=7.2 AQI=203,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=181 humidity=71 wind=7.7 AQI=232,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=75 humidity=63 wind=4.6 AQI=106,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=143 humidity=53 wind=5.4 AQI=185,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=31 humidity=65 wind=5.3 AQI=46,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=283 humidity=38 wind=6.4 AQI=354,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=263 humidity=58 wind=4.7 AQI=347,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=134 humidity=68 wind=1.1 AQI=202,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=231 humidity=41 wind=2.7 AQI=307,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=118 humidity=67 wind=7.6 AQI=148,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=260 humidity=44 wind=5.5 AQI=332,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=100 humidity=77 wind=1.2 AQI=162,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=48 humidity=49 wind=7.3 AQI=50,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=153 humidity=67 wind=4.7 AQI=208,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=17 humidity=56 wind=6.2 AQI=19,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=108 humidity=20 wind=5.0 AQI=125,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=277 humidity=36 wind=6.9 AQI=343,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=110 humidity=75 wind=3.8 AQI=161,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=271 humidity=87 wind=2.9 AQI=381,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=10 humidity=60 wind=6.7 AQI=9,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=194 humidity=73 wind=7.8 AQI=249,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=214 humidity=87 wind=3.2 AQI=305,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=256 humidity=67 wind=5.8 AQI=337,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=23 humidity=60 wind=4.3 AQI=38,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=121 humidity=50 wind=7.9 AQI=142,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=38 humidity=94 wind=5.1 AQI=70,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=182 humidity=90 wind=7.4 AQI=244,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=103 humidity=38 wind=4.7 AQI=129,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=250 humidity=54 wind=4.6 AQI=329,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=75 humidity=51 wind=2.4 AQI=111,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=215 humidity=77 wind=5.7 AQI=289,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=109 humidity=85 wind=6.5 AQI=151,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=126 humidity=23 wind=3.6 AQI=157,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=128 humidity=83 wind=6.9 AQI=173,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=200 humidity=83 wind=5.8 AQI=272,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=72 humidity=69 wind=5.0 AQI=103,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=233 humidity=56 wind=4.3 AQI=309,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=281 humidity=76 wind=1.7 AQI=394,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=50 humidity=75 wind=7.6 AQI=64,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=215 humidity=87 wind=7.8 AQI=284,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=274 humidity=67 wind=5.5 AQI=362,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=108 humidity=35 wind=0.5 AQI=155,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=214 humidity=39 wind=1.0 AQI=292,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=211 humidity=34 wind=2.6 AQI=278,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=42 humidity=54 wind=7.8 AQI=42,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=282 humidity=93 wind=1.9 AQI=403,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=298 humidity=66 wind=6.5 AQI=387,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=243 humidity=80 wind=1.3 AQI=349,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=102 humidity=80 wind=8.0 AQI=132,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=125 humidity=22 wind=4.4 AQI=151,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=28 humidity=68 wind=3.0 AQI=55,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=208 humidity=74 wind=3.1 AQI=291,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=217 humidity=49 wind=3.8 AQI=287,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=81 humidity=95 wind=1.9 AQI=143,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=110 humidity=73 wind=4.6 AQI=156,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=236 humidity=21 wind=2.8 AQI=303,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=53 humidity=73 wind=5.9 AQI=75,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=148 humidity=84 wind=2.1 AQI=223,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=202 humidity=82 wind=4.4 AQI=281,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=171 humidity=67 wind=1.0 AQI=250,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=291 humidity=82 wind=6.2 AQI=388,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=123 humidity=58 wind=4.4 AQI=166,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=80 humidity=28 wind=7.4 AQI=81,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=115 humidity=28 wind=7.2 AQI=127,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=12 humidity=59 wind=4.3 AQI=23,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=120 humidity=60 wind=3.5 AQI=168,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=47 humidity=46 wind=6.7 AQI=50,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=261 humidity=86 wind=0.6 AQI=379,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=262 humidity=62 wind=5.6 AQI=343,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=183 humidity=35 wind=2.8 AQI=241,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=124 humidity=76 wind=1.3 AQI=192,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=180 humidity=47 wind=2.1 AQI=247,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=258 humidity=30 wind=6.4 AQI=318,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=44 humidity=41 wind=5.1 AQI=52,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=249 humidity=41 wind=2.3 AQI=332,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=244 humidity=21 wind=6.0 AQI=297,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=191 humidity=62 wind=5.8 AQI=250,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=272 humidity=74 wind=6.1 AQI=360,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=288 humidity=72 wind=1.7 AQI=401,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=204 humidity=94 wind=2.6 AQI=299,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=104 humidity=59 wind=5.9 AQI=135,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=202 humidity=34 wind=7.5 AQI=242,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=252 humidity=39 wind=3.0 AQI=332,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=46 humidity=33 wind=1.6 AQI=68,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=254 humidity=64 wind=7.5 AQI=324,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=130 humidity=67 wind=4.6 AQI=179,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=196 humidity=37 wind=5.4 AQI=246,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=208 humidity=52 wind=5.0 AQI=271,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=47 humidity=44 wind=3.8 AQI=64,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=143 humidity=26 wind=5.4 AQI=171,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=252 humidity=71 wind=7.9 AQI=323,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=199 humidity=78 wind=3.6 AQI=279,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=137 humidity=88 wind=6.9 AQI=187,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=23 humidity=91 wind=3.6 AQI=57,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=141 humidity=60 wind=4.5 AQI=190,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=300 humidity=71 wind=1.5 AQI=418,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=264 humidity=42 wind=0.7 AQI=360,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=40 humidity=63 wind=3.7 AQI=65,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=242 humidity=27 wind=3.9 AQI=308,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=214 humidity=93 wind=3.1 AQI=309,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=47 humidity=36 wind=7.8 AQI=40,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=15 humidity=42 wind=6.7 AQI=7,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=273 humidity=93 wind=0.9 AQI=396,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=143 humidity=65 wind=5.7 AQI=189,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=191 humidity=61 wind=1.2 AQI=272,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=21 humidity=91 wind=5.5 AQI=45,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=258 humidity=90 wind=3.7 AQI=361,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=101 humidity=56 wind=3.1 AQI=143,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=31 humidity=87 wind=1.0 AQI=78,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=136 humidity=62 wind=3.2 AQI=191,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=145 humidity=59 wind=3.1 AQI=202,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=278 humidity=64 wind=7.5 AQI=355,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=258 humidity=74 wind=7.8 AQI=333,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=194 humidity=47 wind=3.7 AQI=257,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=294 humidity=34 wind=3.1 AQI=383,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=270 humidity=44 wind=1.4 AQI=366,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=151 humidity=90 wind=1.6 AQI=233,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=47 humidity=26 wind=3.0 AQI=59,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=216 humidity=43 wind=7.3 AQI=265,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=282 humidity=90 wind=7.4 AQI=374,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=118 humidity=58 wind=3.8 AQI=163,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=83 humidity=90 wind=2.4 AQI=140,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=121 humidity=75 wind=5.0 AQI=169,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=74 humidity=27 wind=2.3 AQI=98,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=175 humidity=53 wind=7.6 AQI=216,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=18 humidity=53 wind=0.5 AQI=47,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=238 humidity=54 wind=6.9 AQI=301,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=118 humidity=86 wind=6.9 AQI=161,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=123 humidity=55 wind=7.5 AQI=149,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=163 humidity=83 wind=3.6 AQI=235,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=117 humidity=87 wind=2.7 AQI=182,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=294 humidity=36 wind=6.4 AQI=368,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=28 humidity=22 wind=7.5 AQI=9,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=201 humidity=53 wind=4.0 AQI=267,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=192 humidity=55 wind=6.3 AQI=245,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=187 humidity=63 wind=7.0 AQI=239,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=234 humidity=41 wind=4.3 AQI=303,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=15 humidity=64 wind=3.9 AQI=32,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=136 humidity=84 wind=3.1 AQI=203,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=268 humidity=90 wind=0.9 AQI=388,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=64 humidity=21 wind=2.4 AQI=81,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=180 humidity=51 wind=3.4 AQI=242,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=10 humidity=43 wind=5.9 AQI=5,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=280 humidity=81 wind=0.8 AQI=400,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=189 humidity=63 wind=3.0 AQI=262,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=100 humidity=86 wind=2.8 AQI=159,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=282 humidity=71 wind=1.4 AQI=395,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=190 humidity=49 wind=2.0 AQI=261,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=62 humidity=42 wind=3.9 AQI=82,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=87 humidity=43 wind=1.3 AQI=128,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=44 humidity=61 wind=6.1 AQI=57,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=129 humidity=24 wind=1.9 AQI=170,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=137 humidity=31 wind=3.4 AQI=176,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=161 humidity=66 wind=1.6 AQI=234,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=232 humidity=72 wind=2.0 AQI=327,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=62 humidity=23 wind=5.4 AQI=65,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=138 humidity=95 wind=3.2 AQI=210,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=98 humidity=88 wind=4.9 AQI=146,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=49 humidity=60 wind=5.9 AQI=64,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=112 humidity=88 wind=3.5 AQI=172,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=146 humidity=23 wind=5.4 AQI=174,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=36 humidity=94 wind=7.2 AQI=57,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=161 humidity=50 wind=4.3 AQI=212,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=79 humidity=31 wind=4.7 AQI=94,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=25 humidity=84 wind=6.4 AQI=42,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=167 humidity=95 wind=5.0 AQI=239,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=129 humidity=33 wind=4.0 AQI=164,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=196 humidity=21 wind=2.7 AQI=251,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=285 humidity=54 wind=2.8 AQI=383,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=245 humidity=27 wind=3.0 AQI=317,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=170 humidity=39 wind=7.6 AQI=202,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=95 humidity=65 wind=6.0 AQI=126,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=74 humidity=85 wind=7.9 AQI=99,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=85 humidity=79 wind=1.3 AQI=143,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=37 humidity=65 wind=6.3 AQI=49,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=115 humidity=90 wind=1.4 AQI=187,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=213 humidity=86 wind=3.2 AQI=303,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=171 humidity=50 wind=7.1 AQI=211,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=71 humidity=48 wind=4.9 AQI=91,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=133 humidity=65 wind=1.3 AQI=198,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=221 humidity=67 wind=3.5 AQI=303,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=149 humidity=47 wind=2.0 AQI=207,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=101 humidity=93 wind=5.1 AQI=152,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=165 humidity=81 wind=5.3 AQI=228,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=78 humidity=23 wind=2.9 AQI=98,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=147 humidity=92 wind=4.7 AQI=213,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=249 humidity=52 wind=6.7 AQI=316,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=63 humidity=65 wind=6.5 AQI=81,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=88 humidity=72 wind=2.7 AQI=136,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=18 humidity=44 wind=3.9 AQI=25,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=235 humidity=65 wind=6.8 AQI=304,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=120 humidity=87 wind=4.4 AQI=177,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=242 humidity=21 wind=1.6 AQI=317,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=149 humidity=38 wind=4.4 AQI=190,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=97 humidity=82 wind=2.1 AQI=156,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=252 humidity=41 wind=2.3 AQI=336,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=282 humidity=29 wind=2.9 AQI=366,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=197 humidity=25 wind=7.1 AQI=233,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=196 humidity=50 wind=5.5 AQI=252,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=72 humidity=51 wind=6.5 AQI=86,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=228 humidity=52 wind=3.3 AQI=305,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=99 humidity=20 wind=2.4 AQI=126,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=235 humidity=94 wind=3.1 AQI=337,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=273 humidity=53 wind=1.6 AQI=373,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=25 humidity=67 wind=6.0 AQI=36,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=106 humidity=89 wind=4.9 AQI=157,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=102 humidity=58 wind=4.4 AQI=139,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=123 humidity=74 wind=2.5 AQI=184,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=69 humidity=55 wind=6.6 AQI=84,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=63 humidity=43 wind=5.9 AQI=73,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=82 humidity=54 wind=7.0 AQI=98,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=21 humidity=50 wind=3.4 AQI=35,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=206 humidity=57 wind=4.7 AQI=272,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=156 humidity=65 wind=6.8 AQI=201,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=168 humidity=91 wind=3.1 AQI=248,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=252 humidity=33 wind=5.1 AQI=318,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=264 humidity=20 wind=2.2 AQI=342,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=127 humidity=45 wind=3.1 AQI=172,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=113 humidity=66 wind=3.8 AQI=160,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=178 humidity=71 wind=4.4 AQI=244,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=187 humidity=50 wind=6.3 AQI=236,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=295 humidity=38 wind=7.6 AQI=364,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=226 humidity=76 wind=4.7 AQI=308,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=216 humidity=48 wind=2.3 AQI=293,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=123 humidity=73 wind=7.1 AQI=160,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=62 humidity=55 wind=6.2 AQI=77,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=229 humidity=28 wind=2.3 AQI=300,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=29 humidity=56 wind=6.6 AQI=32,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=180 humidity=73 wind=3.2 AQI=254,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=161 humidity=30 wind=7.9 AQI=184,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=143 humidity=24 wind=6.4 AQI=165,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=253 humidity=31 wind=4.8 AQI=320,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=292 humidity=54 wind=4.9 AQI=382,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=150 humidity=23 wind=3.0 AQI=191,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=133 humidity=55 wind=3.3 AQI=183,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
